ItemCode,Brand,Care,co2,water,land,MainImage
P453.4902,66d5aed1ff025cb3bad4ea10,,0.39,,,P453.4902__B_1__b765bd31a50646fe855c53d2b13e0db1.jpg
P453.4919,66d5aed1ff025cb3bad4ea10,,0.39,,,P453.4919__B_1__1669f7b046e24cf5ab741e088d11c96f.jpg
P453.4925,66d5aed1ff025cb3bad4ea10,,0.39,,,P453.4925__B_1__f41bfea9cc0d40d487f3d1f99cdd0fab.jpg
P453.791,66964a11205e51747f3e62f4,,5.31,,,P453.791__B_1__132628faa57d4271a3e2c9f9292898b6.jpg
P453.792,66964a11205e51747f3e62f4,,5.31,,,P453.792__B_1__d82530889b524776b6ebaf131f16a77d.jpg
P453.795,66964a11205e51747f3e62f4,,5.31,,,P453.795__B_1__849147b6705349f3b8aacbbd27da6f78.jpg
P453.797,66964a11205e51747f3e62f4,,5.31,,,P453.797__B_1__8f208a3761fa4b8aa6bd7300f93e0c8b.jpg
P453.799,66964a11205e51747f3e62f4,,5.31,,,P453.799__B_1__f9b336d2d17e4feaa425ed6edbed8a40.jpg
P453.801,66964a11205e51747f3e62f4,,7.25,,,P453.801__B_1__bd763771f40d41a980c2f93a01ea5404.jpg
P453.802,66964a11205e51747f3e62f4,,7.25,,,P453.802__B_1__e4a757e948eb4fb781fe8d060362e553.jpg
P453.805,66964a11205e51747f3e62f4,,7.25,,,P453.805__B_1__a13e56f9ff554d3fa9c3c4a2a34c52df.jpg
P453.807,66964a11205e51747f3e62f4,,7.25,,,P453.807__B_1__8bf0035db839425fb83cac7cbeb9fa3f.jpg
P453.809,66964a11205e51747f3e62f4,,7.25,,,P453.809__B_1__0bdbb2b342124878860f6a93f6f4a150.jpg
P453.810,66964a11205e51747f3e62f4,,2.77,,,P453.810__B_1__da677f2262d6428a9a96150614fcd443.jpg
P453.812,66964a11205e51747f3e62f4,,2.77,,,P453.812__B_1__4af555ad832c4668a6a7b7cd0366cfe0.jpg
P453.813,66964a11205e51747f3e62f4,,2.77,,,P453.813__B_1__24e1b13f0eb043bf8e89e6093091a0af.jpg
P453.815,66964a11205e51747f3e62f4,,2.77,,,P453.815__B_1__1924353bdbdf41839e35d66789f5b065.jpg
P453.817,66964a11205e51747f3e62f4,,2.77,0,0,
P453.820,66964a11205e51747f3e62f4,,5.42,,,P453.820__B_1__e09bd5aa58384a489dba2f2284e97d9c.jpg
P453.822,66964a11205e51747f3e62f4,,5.42,,,P453.822__B_1__a9d8643fd3ad4111bcad81ff4bba7bdc.jpg
P453.823,66964a11205e51747f3e62f4,,5.42,,,P453.823__B_1__6dc88db44a9b4e1fbb04ad7cd8623904.jpg
P453.825,66964a11205e51747f3e62f4,,5.42,,,P453.825__B_1__6203def1bbe64633a3e0035b6038abb6.jpg
P453.827,66964a11205e51747f3e62f4,,5.42,,,P453.827__B_1__892112381c6b42af9ebcce89ebf744f3.jpg
P453.830,66964a11205e51747f3e62f4,,9.66,,,P453.830__B_1__077cd7ad49de4dabb102d7cd618e41c6.jpg
P453.832,66964a11205e51747f3e62f4,,9.66,,,P453.832__B_1__22c5fda90a69428bb9481971e390e673.jpg
P453.835,66964a11205e51747f3e62f4,,9.66,,,P453.835__B_1__d0780c17f7b649e1972f4ce3c75a4959.jpg
P453.839,66964a11205e51747f3e62f4,,9.66,,,P453.839__B_1__64176e638a39473c91fa211ec2abf385.jpg
P453.840,66964a11205e51747f3e62f4,,3.87,,,P453.840__B_1__3ca481cfa1e649b1a242c1948ab2f8fb.jpg
P453.842,66964a11205e51747f3e62f4,,3.87,,,P453.842__B_1__f238a3026c2142d58039b1f8f01b5b23.jpg
P453.845,66964a11205e51747f3e62f4,,3.87,,,P453.845__B_1__2674c8f2d5a94dac9cdb5f31146ea9de.jpg
P453.849,66964a11205e51747f3e62f4,,3.87,,,P453.849__B_1__b801edfd0a9d4d07953635b19c5f63f9.jpg
P459.072,66d5aed1ff025cb3bad4ea10,,2.85,,,P459.072__B_1__da9aa3c0faf142b98456692d6d40b08c.jpg
P459.075,66d5aed1ff025cb3bad4ea10,,2.85,,,P459.075__B_1__4f9176684bd84c0d9b3146078d3026c9.jpg
P459.077,66d5aed1ff025cb3bad4ea10,,2.85,,,P459.077__B_1__68b7676a0f1440d19ecdc58fdbee9fd4.jpg
